relation,domains,ranges
board,"{'http://dbpedia.org/ontology/Cleric', 'http://dbpedia.org/ontology/Psychologist', 'http://dbpedia.org/ontology/PoliticianSpouse', 'http://dbpedia.org/ontology/Youtuber', 'http://dbpedia.org/ontology/Religious', 'http://dbpedia.org/ontology/Archeologist', 'http://dbpedia.org/ontology/Presenter', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/HorseTrainer', 'http://dbpedia.org/ontology/Politician', 'http://dbpedia.org/ontology/TheatreDirector', 'http://dbpedia.org/ontology/MovieDirector', 'http://dbpedia.org/ontology/Academic', 'http://dbpedia.org/ontology/Writer', 'http://dbpedia.org/ontology/OfficeHolder', 'http://dbpedia.org/ontology/Artist', 'http://dbpedia.org/ontology/Royalty', 'http://dbpedia.org/ontology/Egyptologist', 'http://dbpedia.org/ontology/Noble', 'http://dbpedia.org/ontology/Spy', 'http://dbpedia.org/ontology/Coach', 'http://dbpedia.org/ontology/Linguist', 'http://dbpedia.org/ontology/Engineer', 'http://dbpedia.org/ontology/Referee', 'http://dbpedia.org/ontology/BeautyQueen', 'http://dbpedia.org/ontology/Monarch', 'http://dbpedia.org/ontology/TelevisionDirector', 'http://dbpedia.org/ontology/Man', 'http://dbpedia.org/ontology/Architect', 'http://dbpedia.org/ontology/PoliceOfficer', 'http://dbpedia.org/ontology/Criminal', 'http://dbpedia.org/ontology/Judge', 'http://dbpedia.org/ontology/Producer', 'http://dbpedia.org/ontology/Chef', 'http://dbpedia.org/ontology/SportsManager', 'http://dbpedia.org/ontology/MemberResistanceMovement', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/DBpedian', 'http://dbpedia.org/ontology/Model', 'http://dbpedia.org/ontology/PlayboyPlaymate', 'http://dbpedia.org/ontology/OrganisationMember', 'http://dbpedia.org/ontology/MilitaryPerson', 'http://dbpedia.org/ontology/Philosopher', 'http://dbpedia.org/ontology/AmericanLeader', 'http://dbpedia.org/ontology/Economist', 'http://dbpedia.org/ontology/RomanEmperor', 'http://dbpedia.org/ontology/Journalist', 'http://dbpedia.org/ontology/Woman', 'http://dbpedia.org/ontology/Pilot', 'http://dbpedia.org/ontology/Astronaut', 'http://dbpedia.org/ontology/Lawyer', 'http://dbpedia.org/ontology/BusinessPerson', 'http://dbpedia.org/ontology/Aristocrat', 'http://dbpedia.org/ontology/Farmer'}",set()
leftTributary,set(),set()
region,set(),"{'http://dbpedia.org/ontology/CountrySeat', 'http://dbpedia.org/ontology/Park', 'http://dbpedia.org/ontology/NaturalPlace', 'http://dbpedia.org/ontology/ProtectedArea', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/قبرستان', 'http://dbpedia.org/ontology/ConcentrationCamp', 'http://dbpedia.org/ontology/CelestialBody', 'http://dbpedia.org/ontology/SiteOfSpecialScientificInterest', 'http://dbpedia.org/ontology/WineRegion', 'http://dbpedia.org/ontology/Cemetery', 'http://dbpedia.org/ontology/Mine', 'http://dbpedia.org/ontology/HistoricPlace', 'http://dbpedia.org/ontology/Garden', 'http://dbpedia.org/ontology/WorldHeritageSite'}"
grades,set(),set()
locationCountry,set(),{'http://dbpedia.org/ontology/HistoricalCountry'}
associatedAct,"{'http://dbpedia.org/ontology/Sculptor', 'http://dbpedia.org/ontology/Photographer', 'http://dbpedia.org/ontology/Humorist', 'http://dbpedia.org/ontology/Painter', 'http://dbpedia.org/ontology/ComicsCreator', 'http://dbpedia.org/ontology/Dancer', 'http://dbpedia.org/ontology/Comedian', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/FashionDesigner', 'http://dbpedia.org/ontology/Actor'}","{'http://dbpedia.org/ontology/Sculptor', 'http://dbpedia.org/ontology/Photographer', 'http://dbpedia.org/ontology/Humorist', 'http://dbpedia.org/ontology/Painter', 'http://dbpedia.org/ontology/ComicsCreator', 'http://dbpedia.org/ontology/Dancer', 'http://dbpedia.org/ontology/Comedian', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/FashionDesigner', 'http://dbpedia.org/ontology/Actor'}"
grandsire,"{'http://dbpedia.org/ontology/Reptile', 'http://dbpedia.org/ontology/Fish', 'http://dbpedia.org/ontology/Crustacean', 'http://dbpedia.org/ontology/Mammal', 'http://dbpedia.org/ontology/Bird', 'http://dbpedia.org/ontology/Mollusca', 'http://dbpedia.org/ontology/Arachnid', 'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Amphibian', 'http://dbpedia.org/ontology/Insect'}","{'http://dbpedia.org/ontology/Reptile', 'http://dbpedia.org/ontology/Fish', 'http://dbpedia.org/ontology/Crustacean', 'http://dbpedia.org/ontology/Mammal', 'http://dbpedia.org/ontology/Bird', 'http://dbpedia.org/ontology/Mollusca', 'http://dbpedia.org/ontology/Arachnid', 'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Amphibian', 'http://dbpedia.org/ontology/Insect'}"
subsidiary,"{'http://dbpedia.org/ontology/LawFirm', 'http://dbpedia.org/ontology/Bank', 'http://dbpedia.org/ontology/Caterer', 'http://dbpedia.org/ontology/RecordLabel', 'http://dbpedia.org/ontology/PublicTransitSystem', 'http://dbpedia.org/ontology/Winery', 'http://dbpedia.org/ontology/Publisher', 'http://dbpedia.org/ontology/Brewery'}","{'http://dbpedia.org/ontology/LawFirm', 'http://dbpedia.org/ontology/Bank', 'http://dbpedia.org/ontology/Caterer', 'http://dbpedia.org/ontology/RecordLabel', 'http://dbpedia.org/ontology/PublicTransitSystem', 'http://dbpedia.org/ontology/Winery', 'http://dbpedia.org/ontology/Publisher', 'http://dbpedia.org/ontology/Brewery'}"
deathCause,"{'http://dbpedia.org/ontology/Cleric', 'http://dbpedia.org/ontology/Psychologist', 'http://dbpedia.org/ontology/PoliticianSpouse', 'http://dbpedia.org/ontology/Youtuber', 'http://dbpedia.org/ontology/Religious', 'http://dbpedia.org/ontology/Archeologist', 'http://dbpedia.org/ontology/Presenter', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/HorseTrainer', 'http://dbpedia.org/ontology/Politician', 'http://dbpedia.org/ontology/TheatreDirector', 'http://dbpedia.org/ontology/MovieDirector', 'http://dbpedia.org/ontology/Academic', 'http://dbpedia.org/ontology/Writer', 'http://dbpedia.org/ontology/OfficeHolder', 'http://dbpedia.org/ontology/Artist', 'http://dbpedia.org/ontology/Royalty', 'http://dbpedia.org/ontology/Egyptologist', 'http://dbpedia.org/ontology/Noble', 'http://dbpedia.org/ontology/Spy', 'http://dbpedia.org/ontology/Coach', 'http://dbpedia.org/ontology/Linguist', 'http://dbpedia.org/ontology/Engineer', 'http://dbpedia.org/ontology/Referee', 'http://dbpedia.org/ontology/BeautyQueen', 'http://dbpedia.org/ontology/Monarch', 'http://dbpedia.org/ontology/TelevisionDirector', 'http://dbpedia.org/ontology/Man', 'http://dbpedia.org/ontology/Architect', 'http://dbpedia.org/ontology/PoliceOfficer', 'http://dbpedia.org/ontology/Criminal', 'http://dbpedia.org/ontology/Judge', 'http://dbpedia.org/ontology/Producer', 'http://dbpedia.org/ontology/Chef', 'http://dbpedia.org/ontology/SportsManager', 'http://dbpedia.org/ontology/MemberResistanceMovement', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/DBpedian', 'http://dbpedia.org/ontology/Model', 'http://dbpedia.org/ontology/PlayboyPlaymate', 'http://dbpedia.org/ontology/OrganisationMember', 'http://dbpedia.org/ontology/MilitaryPerson', 'http://dbpedia.org/ontology/Philosopher', 'http://dbpedia.org/ontology/AmericanLeader', 'http://dbpedia.org/ontology/Economist', 'http://dbpedia.org/ontology/RomanEmperor', 'http://dbpedia.org/ontology/Journalist', 'http://dbpedia.org/ontology/Woman', 'http://dbpedia.org/ontology/Pilot', 'http://dbpedia.org/ontology/Astronaut', 'http://dbpedia.org/ontology/Lawyer', 'http://dbpedia.org/ontology/BusinessPerson', 'http://dbpedia.org/ontology/Aristocrat', 'http://dbpedia.org/ontology/Farmer'}",set()
network,"{'http://dbpedia.org/ontology/BroadcastNetwork', 'http://dbpedia.org/ontology/TelevisionStation', 'http://dbpedia.org/ontology/RadioStation'}","{'http://dbpedia.org/ontology/BroadcastNetwork', 'http://dbpedia.org/ontology/TelevisionStation', 'http://dbpedia.org/ontology/RadioStation'}"
routeEnd,"{'http://dbpedia.org/ontology/RailwayTunnel', 'http://dbpedia.org/ontology/WaterwayTunnel', 'http://dbpedia.org/ontology/Road', 'http://dbpedia.org/ontology/Bridge', 'http://dbpedia.org/ontology/RailwayLine', 'http://dbpedia.org/ontology/RoadTunnel', 'http://dbpedia.org/ontology/RoadJunction'}","{'http://dbpedia.org/ontology/MetroStation', 'http://dbpedia.org/ontology/RouteStop', 'http://dbpedia.org/ontology/TramStation', 'http://dbpedia.org/ontology/RailwayStation'}"
youthWing,set(),set()
company,set(),"{'http://dbpedia.org/ontology/Company', 'http://dbpedia.org/ontology/MilitaryUnit', 'http://dbpedia.org/ontology/PoliticalParty', 'http://dbpedia.org/ontology/SportsClub', 'http://dbpedia.org/ontology/Non-ProfitOrganisation', 'http://dbpedia.org/ontology/EmployersOrganisation', 'http://dbpedia.org/ontology/GeopoliticalOrganisation', 'http://dbpedia.org/ontology/TermOfOffice', 'http://dbpedia.org/ontology/Parliament', 'http://dbpedia.org/ontology/TradeUnion', 'http://dbpedia.org/ontology/SambaSchool', 'http://dbpedia.org/ontology/InternationalOrganisation', 'http://dbpedia.org/ontology/Legislature', 'http://dbpedia.org/ontology/SportsLeague', 'http://dbpedia.org/ontology/EducationalInstitution', 'http://dbpedia.org/ontology/GovernmentAgency', 'http://dbpedia.org/ontology/SportsTeam', 'http://dbpedia.org/ontology/ReligiousOrganisation', 'http://dbpedia.org/ontology/Broadcaster', 'http://dbpedia.org/ontology/Group'}"
denomination,"{'http://dbpedia.org/ontology/Family', 'http://dbpedia.org/ontology/Employer', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Deity', 'http://dbpedia.org/ontology/FictionalCharacter'}",set()
chairperson,"{'http://dbpedia.org/ontology/Company', 'http://dbpedia.org/ontology/MilitaryUnit', 'http://dbpedia.org/ontology/PoliticalParty', 'http://dbpedia.org/ontology/SportsClub', 'http://dbpedia.org/ontology/Non-ProfitOrganisation', 'http://dbpedia.org/ontology/EmployersOrganisation', 'http://dbpedia.org/ontology/GeopoliticalOrganisation', 'http://dbpedia.org/ontology/TermOfOffice', 'http://dbpedia.org/ontology/Parliament', 'http://dbpedia.org/ontology/TradeUnion', 'http://dbpedia.org/ontology/SambaSchool', 'http://dbpedia.org/ontology/InternationalOrganisation', 'http://dbpedia.org/ontology/Legislature', 'http://dbpedia.org/ontology/SportsLeague', 'http://dbpedia.org/ontology/EducationalInstitution', 'http://dbpedia.org/ontology/GovernmentAgency', 'http://dbpedia.org/ontology/SportsTeam', 'http://dbpedia.org/ontology/ReligiousOrganisation', 'http://dbpedia.org/ontology/Broadcaster', 'http://dbpedia.org/ontology/Group'}","{'http://dbpedia.org/ontology/Cleric', 'http://dbpedia.org/ontology/Psychologist', 'http://dbpedia.org/ontology/PoliticianSpouse', 'http://dbpedia.org/ontology/Youtuber', 'http://dbpedia.org/ontology/Religious', 'http://dbpedia.org/ontology/Archeologist', 'http://dbpedia.org/ontology/Presenter', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/HorseTrainer', 'http://dbpedia.org/ontology/Politician', 'http://dbpedia.org/ontology/TheatreDirector', 'http://dbpedia.org/ontology/MovieDirector', 'http://dbpedia.org/ontology/Academic', 'http://dbpedia.org/ontology/Writer', 'http://dbpedia.org/ontology/OfficeHolder', 'http://dbpedia.org/ontology/Artist', 'http://dbpedia.org/ontology/Royalty', 'http://dbpedia.org/ontology/Egyptologist', 'http://dbpedia.org/ontology/Noble', 'http://dbpedia.org/ontology/Spy', 'http://dbpedia.org/ontology/Coach', 'http://dbpedia.org/ontology/Linguist', 'http://dbpedia.org/ontology/Engineer', 'http://dbpedia.org/ontology/Referee', 'http://dbpedia.org/ontology/BeautyQueen', 'http://dbpedia.org/ontology/Monarch', 'http://dbpedia.org/ontology/TelevisionDirector', 'http://dbpedia.org/ontology/Man', 'http://dbpedia.org/ontology/Architect', 'http://dbpedia.org/ontology/PoliceOfficer', 'http://dbpedia.org/ontology/Criminal', 'http://dbpedia.org/ontology/Judge', 'http://dbpedia.org/ontology/Producer', 'http://dbpedia.org/ontology/Chef', 'http://dbpedia.org/ontology/SportsManager', 'http://dbpedia.org/ontology/MemberResistanceMovement', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/DBpedian', 'http://dbpedia.org/ontology/Model', 'http://dbpedia.org/ontology/PlayboyPlaymate', 'http://dbpedia.org/ontology/OrganisationMember', 'http://dbpedia.org/ontology/MilitaryPerson', 'http://dbpedia.org/ontology/Philosopher', 'http://dbpedia.org/ontology/AmericanLeader', 'http://dbpedia.org/ontology/Economist', 'http://dbpedia.org/ontology/RomanEmperor', 'http://dbpedia.org/ontology/Journalist', 'http://dbpedia.org/ontology/Woman', 'http://dbpedia.org/ontology/Pilot', 'http://dbpedia.org/ontology/Astronaut', 'http://dbpedia.org/ontology/Lawyer', 'http://dbpedia.org/ontology/BusinessPerson', 'http://dbpedia.org/ontology/Aristocrat', 'http://dbpedia.org/ontology/Farmer'}"
programmingLanguage,"{'http://dbpedia.org/ontology/VideoGame', 'http://www.openlinksw.com/schemas/opengraph#Application'}",set()
choreographer,set(),"{'http://dbpedia.org/ontology/Cleric', 'http://dbpedia.org/ontology/Psychologist', 'http://dbpedia.org/ontology/PoliticianSpouse', 'http://dbpedia.org/ontology/Youtuber', 'http://dbpedia.org/ontology/Religious', 'http://dbpedia.org/ontology/Archeologist', 'http://dbpedia.org/ontology/Presenter', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/HorseTrainer', 'http://dbpedia.org/ontology/Politician', 'http://dbpedia.org/ontology/TheatreDirector', 'http://dbpedia.org/ontology/MovieDirector', 'http://dbpedia.org/ontology/Academic', 'http://dbpedia.org/ontology/Writer', 'http://dbpedia.org/ontology/OfficeHolder', 'http://dbpedia.org/ontology/Artist', 'http://dbpedia.org/ontology/Royalty', 'http://dbpedia.org/ontology/Egyptologist', 'http://dbpedia.org/ontology/Noble', 'http://dbpedia.org/ontology/Spy', 'http://dbpedia.org/ontology/Coach', 'http://dbpedia.org/ontology/Linguist', 'http://dbpedia.org/ontology/Engineer', 'http://dbpedia.org/ontology/Referee', 'http://dbpedia.org/ontology/BeautyQueen', 'http://dbpedia.org/ontology/Monarch', 'http://dbpedia.org/ontology/TelevisionDirector', 'http://dbpedia.org/ontology/Man', 'http://dbpedia.org/ontology/Architect', 'http://dbpedia.org/ontology/PoliceOfficer', 'http://dbpedia.org/ontology/Criminal', 'http://dbpedia.org/ontology/Judge', 'http://dbpedia.org/ontology/Producer', 'http://dbpedia.org/ontology/Chef', 'http://dbpedia.org/ontology/SportsManager', 'http://dbpedia.org/ontology/MemberResistanceMovement', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/DBpedian', 'http://dbpedia.org/ontology/Model', 'http://dbpedia.org/ontology/PlayboyPlaymate', 'http://dbpedia.org/ontology/OrganisationMember', 'http://dbpedia.org/ontology/MilitaryPerson', 'http://dbpedia.org/ontology/Philosopher', 'http://dbpedia.org/ontology/AmericanLeader', 'http://dbpedia.org/ontology/Economist', 'http://dbpedia.org/ontology/RomanEmperor', 'http://dbpedia.org/ontology/Journalist', 'http://dbpedia.org/ontology/Woman', 'http://dbpedia.org/ontology/Pilot', 'http://dbpedia.org/ontology/Astronaut', 'http://dbpedia.org/ontology/Lawyer', 'http://dbpedia.org/ontology/BusinessPerson', 'http://dbpedia.org/ontology/Aristocrat', 'http://dbpedia.org/ontology/Farmer'}"
vehicle,set(),set()
influencedBy,set(),set()
monarch,set(),"{'http://dbpedia.org/ontology/Cleric', 'http://dbpedia.org/ontology/Psychologist', 'http://dbpedia.org/ontology/PoliticianSpouse', 'http://dbpedia.org/ontology/Youtuber', 'http://dbpedia.org/ontology/Religious', 'http://dbpedia.org/ontology/Archeologist', 'http://dbpedia.org/ontology/Presenter', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/HorseTrainer', 'http://dbpedia.org/ontology/Politician', 'http://dbpedia.org/ontology/TheatreDirector', 'http://dbpedia.org/ontology/MovieDirector', 'http://dbpedia.org/ontology/Academic', 'http://dbpedia.org/ontology/Writer', 'http://dbpedia.org/ontology/OfficeHolder', 'http://dbpedia.org/ontology/Artist', 'http://dbpedia.org/ontology/Royalty', 'http://dbpedia.org/ontology/Egyptologist', 'http://dbpedia.org/ontology/Noble', 'http://dbpedia.org/ontology/Spy', 'http://dbpedia.org/ontology/Coach', 'http://dbpedia.org/ontology/Linguist', 'http://dbpedia.org/ontology/Engineer', 'http://dbpedia.org/ontology/Referee', 'http://dbpedia.org/ontology/BeautyQueen', 'http://dbpedia.org/ontology/Monarch', 'http://dbpedia.org/ontology/TelevisionDirector', 'http://dbpedia.org/ontology/Man', 'http://dbpedia.org/ontology/Architect', 'http://dbpedia.org/ontology/PoliceOfficer', 'http://dbpedia.org/ontology/Criminal', 'http://dbpedia.org/ontology/Judge', 'http://dbpedia.org/ontology/Producer', 'http://dbpedia.org/ontology/Chef', 'http://dbpedia.org/ontology/SportsManager', 'http://dbpedia.org/ontology/MemberResistanceMovement', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/DBpedian', 'http://dbpedia.org/ontology/Model', 'http://dbpedia.org/ontology/PlayboyPlaymate', 'http://dbpedia.org/ontology/OrganisationMember', 'http://dbpedia.org/ontology/MilitaryPerson', 'http://dbpedia.org/ontology/Philosopher', 'http://dbpedia.org/ontology/AmericanLeader', 'http://dbpedia.org/ontology/Economist', 'http://dbpedia.org/ontology/RomanEmperor', 'http://dbpedia.org/ontology/Journalist', 'http://dbpedia.org/ontology/Woman', 'http://dbpedia.org/ontology/Pilot', 'http://dbpedia.org/ontology/Astronaut', 'http://dbpedia.org/ontology/Lawyer', 'http://dbpedia.org/ontology/BusinessPerson', 'http://dbpedia.org/ontology/Aristocrat', 'http://dbpedia.org/ontology/Farmer'}"
formerBroadcastNetwork,"{'http://dbpedia.org/ontology/BroadcastNetwork', 'http://dbpedia.org/ontology/TelevisionStation', 'http://dbpedia.org/ontology/RadioStation'}",set()
mountainRange,set(),set()
knownFor,set(),set()
ideology,"{'http://dbpedia.org/ontology/Family', 'http://dbpedia.org/ontology/Employer', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Deity', 'http://dbpedia.org/ontology/FictionalCharacter'}",set()
