entity,dbpedia
Q1003082,"Rahway,_New_Jersey"
Q1003115,Built_to_Spill
Q1003138,Fortissimo_Films
Q1003196,Sheerness
Q1003231,Kyustendil_Municipality
Q1003240,"Ca%C3%B1on_City,_Colorado"
Q1003243,Utricularia_subg._Polypompholyx
Q1003256,"Greenwood_Village,_Colorado"
Q1003260,Leksand
Q1003262,Foxboro_Hot_Tubs
Q100340,Plethodontidae
Q1003496,Eluru
Q10035,De_Bilt
Q1003502,Secunderabad
Q1003559,Prestwich
Q10036,De_Ronde_Venen
Q1003630,"Liberal,_Kansas"
Q1003636,"Newton,_Kansas"
Q1003641,"South_St._Paul,_Minnesota"
Q1003649,"Alpharetta,_Georgia"
Q1003662,"Dahlonega,_Georgia"
Q1003667,"Dallas,_Georgia"
Q1003686,"Cumming,_Georgia"
Q1003693,"Vinita,_Oklahoma"
Q1003702,"Wisconsin_Rapids,_Wisconsin"
Q1003704,Freak_of_Nature
Q1003715,"Oconto,_Wisconsin"
Q1003724,"Menomonie,_Wisconsin"
Q1003869,"Cynthiana,_Kentucky"
Q1003894,G%C3%BClnar
Q1004,Comics
Q10040,Rhenen
Q1004012,"Hoosick_Falls,_New_York"
Q1004023,"Limestone,_Maine"
Q1004048,Pabna
Q1004066,"Logan,_Ohio"
Q1004067,Frobisher_Bay
Q10041,"Soest,_Netherlands"
Q1004132,Bull_City_Red
Q10042,Stichtse_Vecht
Q1004222,Bulldog_Drummond
Q1004236,"Ironton,_Ohio"
Q1004255,Myrmeciinae
Q1004325,Buller_District
Q1004336,Fun_Lovin%27_Criminals
Q1004381,Ugly_Americans_(TV_series)
Q100440,Larry_Hagman
Q1004411,"La_Crescent,_Minnesota"
Q1004429,Cnemidophorus
Q1004432,Pozant%C4%B1
Q1004438,Ka%C5%9F
Q1004442,Bullets_and_Octane
Q1004448,Germencik
Q1004454,G%C3%B6le
Q1004462,Korkuteli
Q1004471,Kumluca
Q1004480,Tufanbeyli
Q1004531,Bullets_Over_Broadway
Q1004534,Kuyucak
Q1004613,Posof
Q1004666,Fars_province
Q1004667,Graaff-Reinet
Q1004712,"Linden,_New_Jersey"
Q1004755,"Maumee,_Ohio"
Q1004761,"Rocky_River,_Ohio"
Q1004791,"Douglas,_Georgia"
Q1005,The_Gambia
Q10050,Nieuwegein
Q1005089,Swimming_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_4_%C3%97_100_metre_freestyle_relay
Q1005179,Nando_Cicero
Q1005208,Municipality_of_Dobrova%E2%80%93Polhov_Gradec
Q1005224,Municipality_of_Gorenja_Vas%E2%80%93Poljane
Q1005232,Rock_of_Gibraltar_(horse)
Q1005289,Canadian_nationality_law
Q10053,Wijk_bij_Duurstede
Q1005343,Bundaberg_Region
Q1005468,Danehill_(horse)
Q1005544,Vittorio_Cottafavi
Q1005555,Tumaco
Q10056,Zeist_(municipality)
Q1005623,"New_Berlin,_Wisconsin"
Q1005637,"Granite_Falls,_Minnesota"
Q1005647,Rowing_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_eight
Q1005701,Marudi
Q1005715,"Geneva,_Ohio"
Q1005953,"Midland,_Michigan"
Q1006,Guinea
Q1006104,Tropidophiidae
Q1006179,"Monroe,_Wisconsin"
Q1006232,Woolwich
Q1006240,Palakkad
Q1006277,Mandya
Q1006287,"Independent_Smallholders,_Agrarian_Workers_and_Civic_Party"
Q1006296,Comilla
Q10063,Dysderidae
Q1006303,Mymensingh
Q1006309,"Ryde,_New_South_Wales"
Q1006321,Ghazipur
Q1006355,"Sagar,_Madhya_Pradesh"
Q1006445,Valeri_Kleymyonov
Q1006545,Despotovac
Q1006574,"Carmichael,_California"
Q1006586,"Sun_City,_Arizona"
Q1006668,"Glen_Cove,_New_York"
Q1006865,"Wauwatosa,_Wisconsin"
Q1006876,Borough_status_in_the_United_Kingdom
Q10069,Chongzhen_Emperor
Q1006950,New_York_Film_Academy
Q1006997,Carlo_Di_Palma
Q1007,Guinea-Bissau
Q1007011,"Downers_Grove,_Illinois"
Q1007028,"Cottage_Grove,_Oregon"
Q1007037,"Circleville,_Ohio"
Q1007046,"Kenton,_Ohio"
Q1007083,"Dartmouth,_Devon"
Q1007088,Helensburgh
Q1007093,Exmouth
Q1007106,Totnes
Q1007201,"Gawler,_South_Australia"
Q1007270,Roberto_Faenza
Q1007272,Gabrovo_Province
Q1007407,Fort_Saskatchewan
Q1007545,Galatasaray_High_School
Q1007845,"Holdenville,_Oklahoma"
Q1007874,"Hornsby,_New_South_Wales"
Q1007885,"Elk_City,_Oklahoma"
Q10079,Schouwen-Duiveland
Q1007911,"Greencastle,_Indiana"
Q1007917,"Seminole,_Oklahoma"
Q1007947,"Oak_Lawn,_Illinois"
Q1008,Ivory_Coast
Q10080,Sluis
Q1008048,Municipality_of_Ivan%C4%8Dna_Gorica
Q1008079,Municipality_of_Sodra%C5%BEica
Q10084,Vlissingen
Q1008449,Mirrors_(band)
Q1008492,Gastrotheca
Q1008520,"Gatlinburg,_Tennessee"
Q1008532,Enrico_Oldoini
Q10086,Mysore
Q1008765,Clitheroe
Q10088,Tipu_Sultan
Q1008888,Gekkota
Q1008912,"Montecito,_California"
Q1008927,"Hillsborough,_North_Carolina"
Q1009,Cameroon
Q10090,Hindus
Q1009050,Renato_Pozzetto
Q1009192,"Hopkinton,_Massachusetts"
Q1009209,"Dennis,_Massachusetts"
Q1009221,Oswestry
Q1009235,Pontefract
Q1009247,"Smithers,_British_Columbia"
Q1009253,"Ipswich,_Queensland"
Q1009261,Caerleon
Q1009276,Trelew
Q1009290,Pudsey
Q1009316,Runcorn
Q1009324,"Richmond,_North_Yorkshire"
Q1009331,Alloa
Q1009353,Rae_Parish
Q100937,Fred_Astaire
Q1009409,Municipality_of_Dobrepolje
Q1009421,Municipality_of_Kozje
Q1009477,"Haverhill,_New_Hampshire"
Q100948,Rachel_Carson
Q1009495,George_O%27Brien_(actor)
Q1009509,"Colac,_Victoria"
Q1009515,"Glen_Innes,_New_South_Wales"
Q1009633,Indo-Fijians
Q1009713,Shediac
Q1009832,"Innisfail,_Alberta"
Q1009915,Shotts
Q1009918,Brunello_Rondi
Q1009981,Gerygone
Q1009993,Salvatore_Samperi
Q1010,Maribor
Q1010015,"Eatonton,_Georgia"
Q1010019,Cumnock
Q101004,Aorta
Q101009,Aelurillina
Q1010090,Giorgio_Simonelli
Q1010190,Buono!
Q1010194,"Martinsburg,_West_Virginia"
Q1010199,"Clarksburg,_West_Virginia"
Q1010203,"Sumter,_South_Carolina"
Q1010210,Redruth
Q1010216,"Mount_Pleasant,_South_Carolina"
Q1010225,"Meadville,_Pennsylvania"
Q1010228,"Carlisle,_Pennsylvania"
Q1010232,"Doylestown,_Pennsylvania"
Q1010236,"Norristown,_Pennsylvania"
Q1010240,"Valdosta,_Georgia"
Q1010243,Buraka_Som_Sistema
Q1010244,"West_Chester,_Pennsylvania"
Q1010247,"Alamosa,_Colorado"
Q1010263,Cowdenbeath
Q1010328,Kilsyth
Q1010347,Gullane
Q1010360,"Dearborn_Heights,_Michigan"
Q1010367,Valera
Q1010468,"Velas,_Azores"
Q1010479,Sincik
Q1010496,Lihula_Parish
Q1010528,"Nederland,_Colorado"
Q1010531,Forres
Q1010533,"Estes_Park,_Colorado"
Q1010539,"Red_Bank,_New_Jersey"
Q1010548,United_States_Bureau_of_Reclamation
Q1010556,Bureau_of_Land_Management
Q1010589,Tarvastu_Parish
Q1010593,Illuka_Parish
Q1010595,"Lehi,_Utah"
Q1010597,Kohtla_Parish
Q1010600,Vaivara_Parish
Q1010639,"Mount_Barker,_South_Australia"
Q1010673,"Flemington,_New_Jersey"
Q1010699,"Caribou,_Maine"
Q1010782,"Hobbs,_New_Mexico"
Q101081,Provence
Q10109,Central_Jakarta
Q1011,Cape_Verde
Q1011062,Maldon
Q1011095,New_Cumnock
Q1011096,"Deal,_Kent"
Q1011116,"Portola_Valley,_California"
Q1011171,"Hillsborough,_California"
Q1011181,"La_Ca%C3%B1ada_Flintridge,_California"
Q1011190,"Taiping,_Perak"
Q1011205,"Turlock,_California"
Q1011263,Ku%C4%8Devo
Q1011275,Knja%C5%BEevac
Q101137,Yasuo_Fukuda
Q1011389,Carluke
Q10114,South_Jakarta
Q1011412,Gojira_(band)
Q1011416,Dingwall
Q1011478,Darlinghurst
Q1011507,Peebles
Q1011524,"Point_Pleasant,_West_Virginia"
Q1011592,Whitecross_(band)
Q10116,West_Jakarta
Q1011600,Ellesmere_Port
Q1011743,Tarbolton
Q1011748,"Gig_Harbor,_Washington"
Q10118,Victoria_Azarenka
Q1011895,Hampton_Roads
Q1012,Celje
Q1012011,"Newport_(city),_Vermont"
Q1012017,"Plainfield,_Illinois"
Q1012019,Larkhall
Q1012031,Wisbech
Q1012047,Cupar
Q1012058,"Williamstown,_Victoria"
Q1012076,"Richmond,_Victoria"
Q1012089,"Leesburg,_Virginia"
Q1012137,"Harrietstown,_New_York"
Q1012164,"Van_Wert,_Ohio"
Q1012187,"Greensburg,_Kentucky"
Q1012203,"Central_City,_Kentucky"
Q1012266,"Lindsborg,_Kansas"
Q10123,Tangerang_Regency
Q1012303,"Hazlehurst,_Mississippi"
Q1012330,"Paintsville,_Kentucky"
Q1012355,"Lebanon,_Kentucky"
Q1012364,"Mayfield,_Kentucky"
Q1012372,"Griffin,_Georgia"
Q1012388,"Hoffman_Estates,_Illinois"
Q1012392,"Middlebury,_Vermont"
Q1012395,Carnoustie
Q1012397,"Woodstock,_Vermont"
Q1012424,Nakhon_Si_Thammarat
Q1012444,"La_Junta,_Colorado"
Q1012450,Ngawa_Tibetan_and_Qiang_Autonomous_Prefecture
Q1012455,"Alpena,_Michigan"
Q1012460,Nagqu
Q1012481,Whitehaven
Q1012490,Campbeltown
Q1012507,Fleetwood
Q1012535,Helston
Q101254,"Newport,_Wales"
Q1012548,E.U._(TV_series)
Q1012560,Rosy_Business
Q1012625,Dawson_Creek
Q1012665,"Durango,_Colorado"
Q1012688,"Cortez,_Colorado"
Q1012695,"Farmington,_New_Mexico"
Q1012699,Bryant_University
Q10127,Tangerang
Q1012706,Rourkela
Q101274,Protozoa
Q1012846,Sand%C4%B1kl%C4%B1
Q1012854,S%C3%B6ke
Q1012894,Finike
Q1012945,Alapl%C4%B1
Q1012971,"Lahaina,_Hawaii"
Q1012991,Drumheller
Q1013,Lesotho
Q1013038,"Middletown,_Rhode_Island"
Q1013062,"Hay_River,_Northwest_Territories"
Q101308,Max_Obal
Q1013102,"Salem,_New_Hampshire"
Q1013150,"Mattawa,_Ontario"
Q10132,Rafael_Nadal
Q1013228,"Sayreville,_New_Jersey"
Q1013249,"Secaucus,_New_Jersey"
Q1013254,"Tenafly,_New_Jersey"
Q1013261,"Fort_Lee,_New_Jersey"
Q1013317,"Thibodaux,_Louisiana"
Q1013322,"Po%C5%BEega,_Serbia"
Q101333,Mechanical_engineering
Q101341,Lillehammer
Q1013456,Spruce_Grove
Q1013462,Elmal%C4%B1
Q1013504,"Carmel,_New_York"
Q1013520,"Orland_Park,_Illinois"
Q1013528,Brentford
Q1013549,"Canton,_South_Dakota"
Q1013620,Beith
Q1013633,Ruthin
Q1013664,"Dodgeville,_Wisconsin"
Q1013673,"Elkhorn,_Wisconsin"
Q1013700,"Marinette,_Wisconsin"
Q1013717,"Hamtramck,_Michigan"
Q1013773,Kadrina_Parish
Q1013827,Kilwinning
Q101384,Henry_I_of_England
Q1013953,"Lancaster,_Wisconsin"
Q1013970,"Heywood,_Greater_Manchester"
Q1014,Liberia
Q1014001,"Montgomery,_Ohio"
Q1014071,"Hammond,_Louisiana"
Q101410,Fran%C3%A7ois_Fillon
Q1014155,"Prairie_du_Chien,_Wisconsin"
Q1014171,"Covington,_Louisiana"
Q1014183,"Cedarville,_Ohio"
Q1014189,"Jefferson,_Ohio"
Q1014299,Hanak
Q1014394,Kahnawake
Q1014591,"Point_Pleasant,_New_Jersey"
Q1014607,"St._Johnsbury,_Vermont"
Q1014934,Burgess_Hill
Q1015,Koper
Q1015021,"Hyannis,_Massachusetts"
Q101505,Deep_Purple
Q1015123,Rayong
Q101547,Thabo_Mbeki
Q1015631,Welkom
Q1015639,"Prince_Rupert,_British_Columbia"
Q1015647,Klerksdorp
Q1015672,Whanganui
Q1015681,Lower_Hutt
Q1015690,"Hastings,_New_Zealand"
Q1015710,Abdul_Taib_Mahmud
Q1015727,Mbale
Q101575,Pozna%C5%84_County
Q1015773,Porirua
Q1015805,Changshu
Q1015874,"Sherman_Oaks,_Los_Angeles"
Q101592,Reamonn
Q1015967,Bilston
Q1016,Libya
Q1016100,Qonce
Q1016131,"Port_Washington,_Wisconsin"
Q1016139,"Lebanon,_Pennsylvania"
Q1016159,"Williamsport,_Pennsylvania"
Q1016169,Largs
Q101625,Marrakesh
Q1016263,"Exton,_Pennsylvania"
Q101636,G%C3%BCnther_Stapenhorst
Q1016574,Timaru
Q1016590,"Edgefield,_South_Carolina"
Q1016595,"Winnetka,_Illinois"
Q1016603,"Lisbon,_Ohio"
Q1016615,"Cold_Spring,_New_York"
Q1016633,"Burlington,_North_Carolina"
Q1016638,"Burlington,_Wisconsin"
Q1016692,"Hinton,_Alberta"
Q1016699,Burmeister_%26_Wain
Q1016710,Burmanniaceae
Q1016749,Burnden_Park
Q1016757,Kouka_Department
Q1016799,Burning_Witch
Q101680,Pinaceae
Q1016801,Burning_Heart_Records
Q1016805,Municipality_of_Mirna_Pe%C4%8D
Q1016812,Municipality_of_%C5%A0entjernej
Q1016831,Municipality_of_Sveti_Toma%C5%BE
Q1016840,Municipality_of_Dolenjske_Toplice
Q101685,Treviglio
Q1016880,Buronson
Q1016897,Burr_Steers
Q1016911,Linlithgow
Q1016925,Galashiels
Q1016933,"Coventry,_Rhode_Island"
Q1016944,Peterhead
Q1016976,Tansila_Department
Q1016981,"Mineral_Wells,_Texas"
Q1016997,Fara_Department
Q1017,Aachen
Q1017063,Burst_(band)
Q1017117,Burton_C._Bell
Q101717,Margarete_Kupfer
Q1017175,Murshidabad
Q1017196,Wigtown
Q1017214,"Sheridan,_Wyoming"
Q1017220,"El_Reno,_Oklahoma"
Q1017280,Arab_diaspora
Q1017381,Saimbeyli
Q101740,Benoit_Mandelbrot
Q1017477,"Courtenay,_British_Columbia"
Q1017519,Busia_County
Q1017526,Lasnam%C3%A4e
Q1017583,"Oswego,_New_York"
Q10176,University_of_Lyon
Q1017603,"Ocean_City,_New_Jersey"
Q1017615,Glamo%C4%8D
Q1017624,Portage_la_Prairie
Q1017651,Chiniot
Q1017691,"Cold_Lake,_Alberta"
Q1017735,Owen_Sound
Q1017738,Roi_Et
Q1017748,Kosjeri%C4%87
Q1017770,Buster_Smith
Q10179,Zulu_language
Q1017926,Kalesija
Q1017931,Grude
Q1017938,Donji_Vakuf
Q1017943,Fareham
Q1017948,"Butler,_Pennsylvania"
Q1017950,Fojnica
Q1017952,"Gra%C4%8Danica,_Bosnia_and_Herzegovina"
Q1017953,Mqabba
Q101797,Winona_Ryder
Q1017974,Butler_University
Q1017976,Lukavac
Q1018,Nova_Gorica
Q1018000,Kiseljak
Q1018016,Ljubu%C5%A1ki
Q1018024,Kladanj
Q1018092,Usulut%C3%A1n
Q1018128,"Palermo,_Buenos_Aires"
Q1018133,Lymington
Q1018144,Paarl
Q1018153,Gudja
Q1018157,"Portishead,_Somerset"
Q1018173,Sagaing
Q1018174,Butthole_Surfers
Q1018239,"Selkirk,_Manitoba"
Q1018257,"Comox,_British_Columbia"
Q1018266,"Rochester,_Michigan"
Q1018271,Estevan
Q101828,Ainu_people
Q1018280,"Grand_Haven,_Michigan"
Q1018289,"Shelburne,_Vermont"
Q1018313,"Martins_Ferry,_Ohio"
Q1018317,"Fairborn,_Ohio"
Q1018321,"Mount_Pleasant,_New_York"
Q1018325,"Strathmore,_Alberta"
Q1018355,Buzz_Kulik
Q1018367,M%C3%A9guet_Department
Q1018382,Pajusi_Parish
Q1018401,Mikitam%C3%A4e_Parish
Q1018405,Vihula_Parish
Q1018418,Reigate
Q1018423,Melton_Mowbray
Q1018448,"Washington,_Tyne_and_Wear"
Q1018467,"Elizabeth_City,_North_Carolina"
Q101849,Calvinism
Q1018490,Uckfield
Q1018504,"Paris,_Tennessee"
Q1018505,Cambuslang
Q1018540,Leith
Q1018565,Smethwick
Q101859,VfL_Wolfsburg
Q1018594,S%C3%B5meru_Parish
Q1018597,Byron_Bay
Q1018603,Byron_Gallimore
Q1018607,Laekvere_Parish
Q101861,Bobby_E._L%C3%BCthge
Q1018614,Byron_Haskin
Q1018619,"Dvor,_Croatia"
Q1018680,Coconut_Grove
Q1018681,Fort_Sill
Q1018723,Coatbridge
Q1018756,Saltcoats
Q1018784,By%C3%A5sen_IL
Q1018839,"Espa%C3%B1ola,_New_Mexico"
Q1019,Madagascar
Q1019101,Degerfors
Q1019149,Slipper_lobster
Q1019160,"Monroe,_North_Carolina"
Q101918,Apeldoorn
Q1019210,"East_Aurora,_New_York"
Q101929,Immunology
Q1019298,Tritonioidea
Q1019345,B%C3%A6rum_SK
Q1019382,"Mequon,_Wisconsin"
Q1019389,"Hudson,_Wisconsin"
Q1019402,"Winkler,_Manitoba"
Q1019470,"Skive,_Denmark"
Q1019479,"Cheddar,_Somerset"
Q1019496,Moose_Jaw
Q101951,Pauline_Baynes
Q101959,Borussia_M%C3%B6nchengladbach
Q1019607,"Cabo_Rojo,_Puerto_Rico"
Q1019682,"Dunn,_North_Carolina"
Q1019805,"Oneonta,_New_York"
Q10199,Zaza_language
Q1019948,Raikk%C3%BCla_Parish
Q1019991,Marondera
Q1020,Malawi
Q1020007,Hanila_Parish
Q1020025,Egersund
Q1020142,N%C3%B5o_Parish
Q1020159,Etobicoke
Q1020178,Martna_Parish
Q1020179,"Golden,_British_Columbia"
Q1020183,V%C3%A4ike-Maarja_Parish
Q1020192,Uitenhage
Q1020194,Iisaku_Parish
Q1020202,Halinga_Parish
Q1020217,Minehead
Q1020224,Murree
Q1020251,Dunoon
Q1020265,Mauchline
Q1020341,"Tarrytown,_New_York"
Q1020354,Carrickfergus
Q1020362,Hinckley
Q1020393,"Thermopolis,_Wyoming"
Q1020419,"Madison,_South_Dakota"
Q1020595,"Coventry,_Connecticut"
Q1020598,"Highland_Falls,_New_York"
Q1020602,"Scotia,_New_York"
Q1020609,"Old_Saybrook,_Connecticut"
Q102061,John_Howe_(illustrator)
Q1020632,Sepidan_County
Q1020643,"G%C3%B6lba%C5%9F%C4%B1,_Ankara"
Q1020646,%C3%87ankaya_District
Q1020663,K%C4%B1z%C4%B1lcahamam
Q1020672,B%C3%BClent_Ar%C4%B1n%C3%A7
Q1020699,Savannah_College_of_Art_and_Design
Q1020700,"Castro_Valley,_California"
Q102071,Tove_Jansson
Q1020714,"Melrose_Park,_Illinois"
Q1020718,Roorkee
Q1020722,"Clayton,_New_Mexico"
Q1020730,"Dayton,_Tennessee"
Q1020800,"Rye,_East_Sussex"
Q102090,Apache
Q1020901,Obuasi
Q1020914,Mthatha
Q1020951,Ilkley
Q1020958,Ormskirk
Q1021,Kranj
Q1021026,"Rocky_Mount,_North_Carolina"
Q1021031,"Morganton,_North_Carolina"
Q1021037,"Terrace,_British_Columbia"
Q1021162,Tezpur
Q1021164,Pontypool
Q1021167,Troon
Q1021179,"Morley,_West_Yorkshire"
Q1021229,Gmina_Choczewo
Q102124,Sigourney_Weaver
Q1021319,"Sudbury,_Suffolk"
Q1021350,"Woodbridge,_Suffolk"
Q102139,Margrethe_II_of_Denmark
Q1021395,"Peterborough,_New_Hampshire"
Q102140,Henry_II_of_England
Q1021427,"Morgan_City,_Louisiana"
Q1021527,"Metuchen,_New_Jersey"
Q1021551,"Saddle_River,_New_Jersey"
Q1021562,"Paoli,_Pennsylvania"
Q1021563,"Wyckoff,_New_Jersey"
Q102158,Narva
Q1021588,"Tewksbury,_Massachusetts"
Q1021657,"Clinton,_Oneida_County,_New_York"
Q1021681,"Ypsilanti,_Michigan"
Q1021714,"Paramus,_New_Jersey"
Q1021766,Rankin_Inlet
Q1022,Stuttgart
Q102200,%C3%81rp%C3%A1d_G%C3%B6ncz
Q1022023,Yukari_Tamura
Q1022039,SoulJa
Q1022127,Port_Alberni
Q1022147,Inter-city_rail
Q102217,Vitebsk
Q1022242,North_Central_Coast
Q1022311,C-SPAN
Q1022447,Cleckheaton
Q1022453,C._D._Broad
Q1022454,Paice_Ashton_Lord
Q1022488,Brighton_and_Hove
Q10225,Indian_National_Congress
Q102251,Sephardic_Jews
Q1022530,Nagesh
Q1022556,C._Ramchandra
Q1022574,C._W._McCall
Q1022731,Drayton_Valley
Q1022733,"Sale,_Greater_Manchester"
Q1022741,Widnes
Q1022767,"Greenburgh,_New_York"
Q1022769,"Danville,_Indiana"
Q1022771,Comisi%C3%B3n_de_Actividades_Infantiles
Q1022776,"Port_Charlotte,_Florida"
Q1022781,"Claverack,_New_York"
Q1022789,"Munising,_Michigan"
Q1022802,"St._Johns,_Michigan"
Q1022872,"Escanaba,_Michigan"
Q1022904,Club_Atl%C3%A9tico_Atlanta
Q1022919,Clube_Atl%C3%A9tico_Hermann_Aichinger
Q1022923,Gimnasia_y_Esgrima_de_Jujuy
Q1022938,San_Mart%C3%ADn_de_Tucum%C3%A1n
Q1022939,Talleres_de_C%C3%B3rdoba
Q1022941,Talleres_de_Remedios_de_Escalada
Q1022946,"Portage,_Michigan"
Q1022950,Gmina_Niegos%C5%82awice
Q1022954,"St._Clair_Shores,_Michigan"
Q1022955,CBC_Television
Q1022956,"Gmina_Lubrza,_Lubusz_Voivodeship"
Q1022973,"Crowley,_Louisiana"
Q1022995,CBS_Radio
Q1022996,"Calhoun,_Georgia"
Q10230,Bharatiya_Janata_Party
Q1023055,CCP_Games
Q1023065,CCTV-1
Q1023161,CD_Baby
Q1023163,C.D._Aves
Q102317,Kielce
Q1023177,CD_D%C3%A9nia
Q1023191,Huachipato_FC
Q1023195,Asociaci%C3%B3n_Civil_Deportivo_Lara
Q1023199,Deportivo_Maldonado
Q1023201,C.D._Marath%C3%B3n
Q1023205,F.C._Motagua
Q1023208,C.D._Olimpia
Q1023214,C.D._Primeiro_de_Agosto
Q1023220,CD_San_Roque_de_Lepe
Q1023227,C.D._Tondela
Q1023233,C.D._Trofense
Q1023235,C.D._Veracruz
Q1023236,Atl%C3%A9tico_Zacatepec
Q1023286,Gerc%C3%BC%C5%9F
Q102341,Farrah_Fawcett
Q1023450,CFB_Esquimalt
Q1023453,CFB_Halifax
Q1023459,Robotech
Q1023488,"Georgetown,_Ohio"
Q1023499,"Hudson,_New_York"
Q102350,Bytom
Q1023503,"Hudson,_Massachusetts"
Q1023511,"Grafton,_Massachusetts"
Q1023529,"Platteville,_Wisconsin"
Q1023532,Atlas_F.C.
Q1023544,"Baraboo,_Wisconsin"
Q1023553,"Sterling,_Massachusetts"
Q1023559,"Sturgeon_Bay,_Wisconsin"
Q102356,Brigade
Q1023649,"Gaffney,_South_Carolina"
Q102365,P%C3%A4rnu
Q1023693,Karaikudi
Q1023712,"San_Fernando,_Trinidad_and_Tobago"
Q1023727,CIMP
Q102374,Bruno_Kastner
Q102377,Blekinge_County
Q1023772,CIV_(band)
Q1023788,CJ_Mac
Q1023813,CKY_(video_series)
Q102385,The_Pussycat_Dolls
Q1023867,CMA_CGM
Q1023911,CNBC_Europe
Q1023912,CNBC
Q1023914,CNBC_Asia
Q1023924,CNN-News18
Q1023953,"Lisle,_Illinois"
Q102397,Miskolc
Q1024037,"Dorchester,_Boston"
Q1024091,"Huntsville,_Ontario"
Q1024114,COPPPAL
Q1024118,Chorlton-cum-Hardy
Q102419,Derek_Barton
Q1024190,CO_Roubaix-Tourcoing
Q1024264,Clube_de_Regatas_Brasil
Q1024337,Comunicaciones_F.C.
Q1024338,Defensa_y_Justicia
Q1024343,C.S.D._Villa_Espa%C3%B1ola
Q1024390,FC_Politehnica_Ia%C8%99i_(2010)
Q1024395,SCM_R%C3%A2mnicu_V%C3%A2lcea
Q1024397,CSM_Re%C8%99i%C8%9Ba
Q1024426,University_of_South_Carolina
Q1024460,C.S._Cartagin%C3%A9s
Q1024463,CS_Concordia_Chiajna
Q1024468,CS_Fola_Esch
Q1024474,Miramar_Misiones
Q1024482,CS_Sfaxien
Q102454,Paul_Samuelson
Q1024566,CVC_Capital_Partners
Q102462,James_Stewart
Q1024624,Greater_Toronto_Area
Q1024639,C%2BC_Music_Factory
Q1024647,Ikeja
