entity,classes
12_Songs_of_Christmas_(Etta_James_album),"{'http://dbpedia.org/ontology/Album', 'http://www.wikidata.org/entity/Q482994', 'http://schema.org/MusicAlbum'}"
12th_Armoured_Infantry_Brigade_(United_Kingdom),"{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryUnit'}"
12th_Flying_Training_Wing,"{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryUnit'}"
12th_Regiment_Kentucky_Volunteer_Cavalry,"{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryUnit'}"
13th_Cavalry_Brigade_(British_Indian_Army),"{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryUnit'}"
148th_Infantry_Regiment_(United_States),"{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryPerson', 'http://dbpedia.org/ontology/MilitaryUnit'}"
149th_Pennsylvania_Infantry,{''}
14th_Infantry_Regiment_(United_States),"{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryUnit'}"
14th_Ohio_Battery,"{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryUnit'}"
14th_Regiment_(New_York_State_Militia),"{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryUnit'}"
14th_Waffen_Grenadier_Division_of_the_SS_(1st_Galician),"{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryUnit'}"
15_kV_AC_railway_electrification,{''}
15th_(Scottish)_Infantry_Division,"{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryUnit'}"
16_Horsepower,"{'http://www.wikidata.org/entity/Q215380', 'http://dbpedia.org/ontology/Band'}"
16th_Avenue_(song),"{'http://www.wikidata.org/entity/Q134556', 'http://dbpedia.org/ontology/Single', 'http://schema.org/MusicAlbum', 'http://dbpedia.org/ontology/Album', 'http://dbpedia.org/ontology/Song', 'http://www.wikidata.org/entity/Q482994'}"
16th_Ohio_Infantry,"{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryPerson', 'http://dbpedia.org/ontology/MilitaryUnit'}"
17_Days_(song),"{'http://www.wikidata.org/entity/Q386724', 'http://dbpedia.org/ontology/Work', 'http://schema.org/CreativeWork'}"
17th_SS_Panzergrenadier_Division_Götz_von_Berlichingen,"{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryUnit'}"
187_He_Wrote,"{'http://dbpedia.org/ontology/Album', 'http://www.wikidata.org/entity/Q482994', 'http://schema.org/MusicAlbum'}"
1895_Counter-revolution_in_Hawaii,{'http://dbpedia.org/ontology/MilitaryConflict'}
18th_Division_(German_Empire),"{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryUnit'}"
1916_(album),"{'http://dbpedia.org/ontology/Album', 'http://www.wikidata.org/entity/Q482994', 'http://schema.org/MusicAlbum'}"
192.com,"{'http://dbpedia.org/ontology/Company', 'http://www.wikidata.org/entity/Q4830453'}"
1932_Ford,{'http://dbpedia.org/ontology/Automobile'}
1948_San_Remo_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
1950_Swiss_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
1953_Swiss_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
1954_Spanish_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
1959–60_Cardiff_City_F.C._season,"{'http://dbpedia.org/ontology/SoccerClubSeason', 'http://schema.org/SportsTeam', 'http://www.wikidata.org/entity/Q12973014', 'http://dbpedia.org/ontology/FootballLeagueSeason', 'http://dbpedia.org/ontology/SportsTeam'}"
1961_Danish_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
1962_Natal_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
1967_German_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
1967–68_Mersin_İdmanyurdu_season,"{'http://dbpedia.org/ontology/SoccerClub', 'http://www.wikidata.org/entity/Q476028', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/SoccerClubSeason'}"
1968_Australian_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
1968_Mexican_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
1968_New_Zealand_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
1968_United_States_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
1969–70_Cardiff_City_F.C._season,"{'http://dbpedia.org/ontology/SoccerClubSeason', 'http://schema.org/SportsTeam', 'http://www.wikidata.org/entity/Q12973014', 'http://dbpedia.org/ontology/FootballLeagueSeason', 'http://dbpedia.org/ontology/SportsTeam'}"
1970_Belgian_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
1971_World_Championship_Victory_Race,{'http://dbpedia.org/ontology/GrandPrix'}
1972_German_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
1973_Belgian_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
1973_New_York_Cosmos_season,"{'http://dbpedia.org/ontology/SoccerClub', 'http://dbpedia.org/ontology/FootballLeagueSeason', 'http://www.wikidata.org/entity/Q476028', 'http://dbpedia.org/ontology/SoccerClubSeason'}"
1973_Spanish_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
1973–74_Cardiff_City_F.C._season,"{'http://dbpedia.org/ontology/SoccerClubSeason', 'http://schema.org/SportsTeam', 'http://www.wikidata.org/entity/Q12973014', 'http://dbpedia.org/ontology/FootballLeagueSeason', 'http://dbpedia.org/ontology/SportsTeam'}"
1975_San_Jose_Earthquakes_season,"{'http://www.wikidata.org/entity/Q476028', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/SoccerClubSeason', 'http://schema.org/SportsTeam', 'http://www.wikidata.org/entity/Q12973014', 'http://dbpedia.org/ontology/SportsTeam', 'http://dbpedia.org/ontology/SoccerClub'}"
1975–76_Mersin_İdmanyurdu_season,"{'http://dbpedia.org/ontology/SoccerClub', 'http://www.wikidata.org/entity/Q476028', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/SoccerClubSeason'}"
1975–76_Tennis_Borussia_Berlin_season,"{'http://www.wikidata.org/entity/Q476028', 'http://dbpedia.org/ontology/SoccerClubSeason', 'http://schema.org/SportsTeam', 'http://www.wikidata.org/entity/Q12973014', 'http://dbpedia.org/ontology/SportsTeam', 'http://dbpedia.org/ontology/SoccerClub'}"
1976_Dutch_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
1976_Japanese_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
1976_in_music,"{'http://dbpedia.org/ontology/Album', 'http://www.wikidata.org/entity/Q482994', 'http://dbpedia.org/ontology/PopulatedPlaceOrCompany', 'http://schema.org/MusicAlbum'}"
1977_South_African_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
1980_Argentine_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
1980_Spanish_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
1981–82_Galatasaray_S.K._season,"{'http://dbpedia.org/ontology/SoccerClub', 'http://www.wikidata.org/entity/Q476028', 'http://dbpedia.org/ontology/SoccerClubSeason'}"
1982–83_Galatasaray_S.K._season,"{'http://dbpedia.org/ontology/SoccerClub', 'http://www.wikidata.org/entity/Q476028', 'http://dbpedia.org/ontology/SoccerClubSeason'}"
1983_German_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
1983_in_music,{'http://dbpedia.org/ontology/PopulatedPlaceOrCompany'}
1984_(song),"{'http://dbpedia.org/ontology/Song', 'http://www.wikidata.org/entity/Q134556', 'http://dbpedia.org/ontology/Single'}"
1984_Dutch_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
1984_German_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
1985_German_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
1985–86_Newcastle_United_F.C._season,"{'http://dbpedia.org/ontology/SoccerClub', 'http://www.wikidata.org/entity/Q476028', 'http://dbpedia.org/ontology/SoccerClubSeason'}"
1986_Canadian_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
1986_French_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
1986–87_Newcastle_United_F.C._season,"{'http://dbpedia.org/ontology/SoccerClub', 'http://www.wikidata.org/entity/Q476028', 'http://dbpedia.org/ontology/SoccerClubSeason'}"
1987_Detroit_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
1987_Portuguese_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
1987–88_Newcastle_United_F.C._season,"{'http://dbpedia.org/ontology/SoccerClub', 'http://www.wikidata.org/entity/Q476028', 'http://dbpedia.org/ontology/SoccerClubSeason'}"
1988_Maldives_coup_d'état,{'http://dbpedia.org/ontology/MilitaryConflict'}
1988_in_music,"{'http://dbpedia.org/ontology/Album', 'http://www.wikidata.org/entity/Q482994', 'http://dbpedia.org/ontology/PopulatedPlaceOrCompany', 'http://schema.org/MusicAlbum'}"
1989_Belgian_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
1989_British_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
1989_German_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
1990-Sick,"{'http://dbpedia.org/ontology/Album', 'http://www.wikidata.org/entity/Q482994', 'http://schema.org/MusicAlbum'}"
1990–91_A.S._Roma_season,"{'http://www.wikidata.org/entity/Q476028', 'http://dbpedia.org/ontology/SoccerClubSeason', 'http://schema.org/SportsTeam', 'http://www.wikidata.org/entity/Q12973014', 'http://dbpedia.org/ontology/SportsTeam', 'http://dbpedia.org/ontology/SoccerClub'}"
1991_Soviet_coup_d'état_attempt,{'http://dbpedia.org/ontology/MilitaryConflict'}
1991–92_Cardiff_City_F.C._season,"{'http://dbpedia.org/ontology/SoccerClubSeason', 'http://schema.org/SportsTeam', 'http://www.wikidata.org/entity/Q12973014', 'http://dbpedia.org/ontology/FootballLeagueSeason', 'http://dbpedia.org/ontology/SportsTeam'}"
1993_Hungarian_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
1993_Monaco_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
1994–95_Juventus_F.C._season,"{'http://www.wikidata.org/entity/Q476028', 'http://dbpedia.org/ontology/SoccerClubSeason', 'http://schema.org/SportsTeam', 'http://www.wikidata.org/entity/Q12973014', 'http://dbpedia.org/ontology/SportsTeam', 'http://dbpedia.org/ontology/SoccerClub'}"
1994–95_Portsmouth_F.C._season,"{'http://dbpedia.org/ontology/SoccerClub', 'http://www.wikidata.org/entity/Q476028', 'http://dbpedia.org/ontology/SoccerClubSeason'}"
1994–95_Reading_F.C._season,"{'http://dbpedia.org/ontology/SoccerClub', 'http://www.wikidata.org/entity/Q476028', 'http://dbpedia.org/ontology/SoccerClubSeason'}"
1995–96_Leicester_City_F.C._season,"{'http://dbpedia.org/ontology/SoccerClub', 'http://www.wikidata.org/entity/Q476028', 'http://dbpedia.org/ontology/SoccerClubSeason'}"
1995–96_Port_Vale_F.C._season,"{'http://dbpedia.org/ontology/SoccerClub', 'http://www.wikidata.org/entity/Q476028', 'http://dbpedia.org/ontology/SoccerClubSeason'}"
1995–96_Portsmouth_F.C._season,"{'http://dbpedia.org/ontology/SoccerClub', 'http://www.wikidata.org/entity/Q476028', 'http://dbpedia.org/ontology/SoccerClubSeason'}"
1996_French_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
1996–97_Leicester_City_F.C._season,"{'http://dbpedia.org/ontology/SoccerClub', 'http://www.wikidata.org/entity/Q476028', 'http://dbpedia.org/ontology/SoccerClubSeason'}"
1996–97_Reading_F.C._season,"{'http://dbpedia.org/ontology/SoccerClub', 'http://www.wikidata.org/entity/Q476028', 'http://dbpedia.org/ontology/SoccerClubSeason'}"
1997_clashes_in_Cambodia,{'http://dbpedia.org/ontology/MilitaryConflict'}
1997–98_Derby_County_F.C._season,"{'http://dbpedia.org/ontology/SoccerClub', 'http://www.wikidata.org/entity/Q476028'}"
1997–98_Sunderland_A.F.C._season,"{'http://dbpedia.org/ontology/SoccerClub', 'http://www.wikidata.org/entity/Q476028', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/SoccerClubSeason'}"
1998_German_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
1998_Luxembourg_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
1999_Nagoya_Grampus_Eight_season,"{'http://www.wikidata.org/entity/Q476028', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/SoccerClubSeason', 'http://schema.org/SportsTeam', 'http://www.wikidata.org/entity/Q12973014', 'http://dbpedia.org/ontology/SportsTeam', 'http://dbpedia.org/ontology/SoccerClub'}"
1999–2000_Hertha_BSC_season,"{'http://dbpedia.org/ontology/SoccerClub', 'http://dbpedia.org/ontology/FootballLeagueSeason', 'http://www.wikidata.org/entity/Q476028', 'http://dbpedia.org/ontology/SoccerClubSeason'}"
1999–2000_Tottenham_Hotspur_F.C._season,"{'http://dbpedia.org/ontology/SoccerClub', 'http://www.wikidata.org/entity/Q476028', 'http://dbpedia.org/ontology/SoccerClubSeason'}"
19th_Light_Dragoons,"{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryUnit'}"
19th_Virginia_Infantry,"{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryUnit'}"
1_(Beatles_album),"{'http://dbpedia.org/ontology/Album', 'http://www.wikidata.org/entity/Q482994', 'http://schema.org/MusicAlbum'}"
1st_Battalion_1st_Marines,"{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryUnit'}"
1st_Battalion_7th_Marines,"{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryUnit'}"
1st_Belorussian_Front,"{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryConflict', 'http://dbpedia.org/ontology/MilitaryUnit'}"
1st_Connecticut_Heavy_Artillery_Regiment,"{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryUnit'}"
1st_Division_(Iraq),"{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryUnit'}"
1st_Foreign_Regiment,"{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryUnit'}"
1st_Infantry_Division_(United_States),"{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryUnit'}"
1st_Infantry_Division_Artillery_(United_States),"{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryUnit'}"
1st_Maine_Veteran_Volunteer_Infantry_Regiment,"{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryPerson', 'http://dbpedia.org/ontology/MilitaryUnit'}"
1st_Marine_Infantry_Regiment,"{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryUnit'}"
1st_Panzer_Army,"{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryUnit'}"
1st_Provisional_Marine_Brigade,"{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryPerson', 'http://dbpedia.org/ontology/MilitaryUnit'}"
1½_Knights_–_In_Search_of_the_Ravishing_Princess_Herzelinde,"{'http://dbpedia.org/ontology/Film', 'http://www.wikidata.org/entity/Q11424', 'http://schema.org/Movie'}"
2-4_Family,"{'http://www.wikidata.org/entity/Q215380', 'http://dbpedia.org/ontology/Band'}"
2/11th_Battalion_(Australia),"{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryUnit'}"
2/1st_Battalion_(Australia),"{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryUnit'}"
2/25th_Battalion_(Australia),"{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryUnit'}"
2/4th_Battalion_(Australia),"{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryUnit'}"
20/20_(Dilated_Peoples_album),"{'http://dbpedia.org/ontology/Album', 'http://www.wikidata.org/entity/Q482994', 'http://schema.org/MusicAlbum'}"
2000–01_Barnsley_F.C._season,"{'http://www.wikidata.org/entity/Q476028', 'http://dbpedia.org/ontology/SoccerClubSeason', 'http://schema.org/SportsTeam', 'http://www.wikidata.org/entity/Q12973014', 'http://dbpedia.org/ontology/SportsTeam', 'http://dbpedia.org/ontology/SoccerClub'}"
2000–01_Tottenham_Hotspur_F.C._season,{'http://dbpedia.org/ontology/SoccerClubSeason'}
2001_Cerezo_Osaka_season,"{'http://www.wikidata.org/entity/Q476028', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/SoccerClubSeason', 'http://schema.org/SportsTeam', 'http://www.wikidata.org/entity/Q12973014', 'http://dbpedia.org/ontology/SportsTeam', 'http://dbpedia.org/ontology/SoccerClub'}"
2001_German_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
2001_Tokyo_Verdy_1969_season,"{'http://www.wikidata.org/entity/Q476028', 'http://dbpedia.org/ontology/SoccerClubSeason', 'http://schema.org/SportsTeam', 'http://www.wikidata.org/entity/Q12973014', 'http://dbpedia.org/ontology/SportsTeam', 'http://dbpedia.org/ontology/SoccerClub'}"
2001_Yokohama_F._Marinos_season,"{'http://www.wikidata.org/entity/Q476028', 'http://dbpedia.org/ontology/SoccerClubSeason', 'http://schema.org/SportsTeam', 'http://www.wikidata.org/entity/Q12973014', 'http://dbpedia.org/ontology/SportsTeam', 'http://dbpedia.org/ontology/SoccerClub'}"
2001–02_Everton_F.C._season,"{'http://dbpedia.org/ontology/SoccerClub', 'http://www.wikidata.org/entity/Q476028', 'http://dbpedia.org/ontology/SoccerClubSeason'}"
2001–02_Ipswich_Town_F.C._season,"{'http://dbpedia.org/ontology/SoccerClub', 'http://www.wikidata.org/entity/Q476028', 'http://dbpedia.org/ontology/SoccerClubSeason'}"
2001–02_Mersin_İdmanyurdu_season,"{'http://dbpedia.org/ontology/SoccerClub', 'http://www.wikidata.org/entity/Q476028', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/SoccerClubSeason'}"
2002_(Tha_Dogg_Pound_album),"{'http://dbpedia.org/ontology/Album', 'http://www.wikidata.org/entity/Q482994', 'http://schema.org/MusicAlbum'}"
2002–03_Celtic_F.C._season,"{'http://dbpedia.org/ontology/SoccerClub', 'http://www.wikidata.org/entity/Q476028', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/SoccerClubSeason'}"
2002–03_Everton_F.C._season,"{'http://dbpedia.org/ontology/SoccerClub', 'http://www.wikidata.org/entity/Q476028', 'http://dbpedia.org/ontology/SoccerClubSeason'}"
2002–03_Ipswich_Town_F.C._season,"{'http://dbpedia.org/ontology/SoccerClub', 'http://www.wikidata.org/entity/Q476028', 'http://dbpedia.org/ontology/SoccerClubSeason'}"
2002–03_Sunderland_A.F.C._season,"{'http://www.wikidata.org/entity/Q476028', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/SoccerClubSeason', 'http://schema.org/SportsTeam', 'http://www.wikidata.org/entity/Q12973014', 'http://dbpedia.org/ontology/SportsTeam', 'http://dbpedia.org/ontology/SoccerClub'}"
2003_German_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
2003_Kyoto_Purple_Sanga_season,"{'http://www.wikidata.org/entity/Q476028', 'http://dbpedia.org/ontology/SoccerClubSeason', 'http://schema.org/SportsTeam', 'http://www.wikidata.org/entity/Q12973014', 'http://dbpedia.org/ontology/SportsTeam', 'http://dbpedia.org/ontology/SoccerClub'}"
2003–04_Celtic_F.C._season,"{'http://dbpedia.org/ontology/SoccerClub', 'http://www.wikidata.org/entity/Q476028', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/SoccerClubSeason'}"
2003–04_Football_League,{'http://dbpedia.org/ontology/FootballLeagueSeason'}
2003–04_Ipswich_Town_F.C._season,"{'http://dbpedia.org/ontology/SoccerClub', 'http://www.wikidata.org/entity/Q476028', 'http://dbpedia.org/ontology/SoccerClubSeason'}"
2003–04_Luton_Town_F.C._season,"{'http://dbpedia.org/ontology/SoccerClub', 'http://dbpedia.org/ontology/FootballLeagueSeason', 'http://www.wikidata.org/entity/Q476028', 'http://dbpedia.org/ontology/SoccerClubSeason'}"
2003–04_Millwall_F.C._season,"{'http://dbpedia.org/ontology/SoccerClub', 'http://www.wikidata.org/entity/Q476028', 'http://dbpedia.org/ontology/SoccerClubSeason'}"
2004_British_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
2004_German_Grand_Prix,{'http://dbpedia.org/ontology/GrandPrix'}
2004–05_AFC_Wimbledon_season,"{'http://dbpedia.org/ontology/SoccerClub', 'http://www.wikidata.org/entity/Q476028'}"
